from to weigth
6_internal_9751 11_internal_7579 1
6_internal_9751 7_internal_7931 1
6_internal_9751 14_internal_5707 1
17_internal_7683 19_internal_5846 1
6_internal_9751 19_internal_6190 1
1_internal_16864 19_internal_8727 1
1_internal_17069 3_internal_10816 1
6_internal_9751 16_internal_5421 1
1_internal_17069 5_internal_8392 1
1_internal_17069 6_internal_10512 1
1_internal_15762 6_internal_9794 1
1_internal_15992 16_internal_5421 1
2_internal_13075 3_internal_10724 1
5_internal_8392 6_internal_10512 1
2_internal_13075 16_internal_5421 1
1_internal_16864 16_internal_5608 1
5_internal_8392 11_internal_9931 1
11_internal_7755 20_internal_5477 1
5_internal_8127 14_internal_5429 1
7_internal_7931 14_internal_5707 1
11_internal_7579 19_internal_6190 1
14_internal_5429 16_internal_5421 1
7_internal_7931 16_internal_5421 1
2_internal_13075 14_internal_5429 1
5_internal_8127 7_internal_8036 1
7_internal_7931 11_internal_7579 1
2_internal_17916 10_internal_8305 1
5_internal_8127 16_internal_5421 1
11_internal_7755 20_internal_5636 1
6_internal_9751 22_internal_3674 1
6_internal_10512 14_internal_5404 1
1_internal_16864 11_internal_7755 1
1_internal_15992 7_internal_7931 1
11_internal_7579 14_internal_5707 1
1_internal_17069 14_internal_5404 1
1_internal_17069 8_internal_8933 1
11_internal_7579 16_internal_5421 1
2_internal_13075 5_internal_8127 1
11_internal_7755 18_internal_3333 1
1_internal_15762 19_internal_6250 1
1_internal_16198 2_internal_13338 1
5_internal_8538 19_internal_5846 1
1_internal_15992 11_internal_7579 1
1_internal_16864 17_internal_7960 1
10_internal_10723 11_internal_7755 1
6_internal_9751 14_internal_5429 1
1_internal_17069 5_internal_8201 1
5_internal_8201 6_internal_10512 1
6_internal_9751 19_internal_6209 1
7_internal_7931 19_internal_5935 1
1_internal_15992 6_internal_9751 1
6_internal_9794 19_internal_6250 1
5_internal_8392 14_internal_5404 1
16_internal_5421 19_internal_6190 1
5_internal_8127 7_internal_7931 1
1_internal_15823 6_internal_9794 1
6_internal_9751 19_internal_5862 1
16_internal_5608 19_internal_8727 1
2_internal_13075 7_internal_8036 1
3_internal_10724 7_internal_8036 1
1_internal_16680 11_internal_7668 1
11_internal_7579 12_internal_8556 1
3_internal_10724 5_internal_8127 1
2_internal_13478 11_internal_7755 1
5_internal_8448 11_internal_7766 1
2_internal_13478 6_internal_9898 1
1_internal_17069 11_internal_7766 1
1_internal_15887 19_internal_6190 1
11_internal_7755 19_internal_8727 1
6_internal_9751 12_internal_8556 1
5_internal_8538 6_internal_9794 1
12_internal_8565 14_internal_5404 1
16_internal_5421 19_internal_5935 1
8_internal_8933 11_internal_7766 1
7_internal_7931 19_internal_5862 1
3_internal_10724 7_internal_7931 1
19_internal_8727 20_internal_5636 1
1_internal_17069 5_internal_8189 1
6_internal_10512 11_internal_7766 1
14_internal_5707 19_internal_6190 1
16_internal_5421 20_internal_4555 1
3_internal_10816 6_internal_10512 1
6_internal_10512 12_internal_8565 1
5_internal_8127 6_internal_9751 1
5_internal_8201 12_internal_8565 1
1_internal_15992 2_internal_13075 1
7_internal_8036 20_internal_4555 1
7_internal_7931 14_internal_5612 1
1_internal_15992 19_internal_5862 1
7_internal_7931 19_internal_6190 1
5_internal_8448 15_internal_6100 1
3_internal_10816 5_internal_8392 1
1_internal_16680 7_internal_8144 1
1_internal_15992 5_internal_8127 1
1_internal_16010 19_internal_6209 1
1_internal_17069 12_internal_8565 1
11_internal_8327 15_internal_6100 1
11_internal_7766 14_internal_5404 1
16_internal_5565 19_internal_6261 1
1_internal_16864 20_internal_5636 1
7_internal_7974 11_internal_7593 1
2_internal_13334 10_internal_7789 1
11_internal_7579 14_internal_5429 1
1_internal_15992 7_internal_8036 1
6_internal_10512 8_internal_8933 1
17_internal_7662 19_internal_6441 1
6_internal_9898 18_internal_3333 1
8_internal_6743 11_internal_7755 1
5_internal_8392 12_internal_8565 1
