id1 id2
1_internal_16077 21_internal_2184
1_internal_20060 17_internal_7681
1_internal_20060 19_internal_5810
4_internal_11085 21_internal_2184
1_internal_16077 4_internal_11085
1_internal_17976 8_internal_7398
14_internal_5396 20_internal_4501
17_internal_7589 20_internal_4501
2_internal_13108 4_internal_6941
1_internal_20060 5_internal_8128
7_internal_7975 14_internal_5396
16_internal_6270 17_internal_7681
14_internal_6170 16_internal_5824
2_internal_18533 16_internal_5916
3_internal_10703 11_internal_7504
1_internal_17976 10_internal_7559
1_internal_15713 19_internal_5787
14_internal_5396 17_internal_7589
10_internal_7559 16_internal_5824
7_internal_7975 17_internal_7589
11_internal_7511 19_internal_5863
8_internal_7398 16_internal_5824
1_internal_16205 6_internal_10538
1_internal_20060 8_internal_7062
1_internal_20060 16_internal_6270
1_internal_17976 16_internal_5824
5_internal_8133 14_internal_5411
5_internal_8128 19_internal_5810
2_internal_13431 6_internal_9964
1_internal_17976 14_internal_6170
7_internal_8056 10_internal_7559
16_internal_5824 21_internal_2154
10_internal_7559 14_internal_6170
7_internal_7975 20_internal_4501
5_internal_8133 6_internal_9964
4_internal_7561 5_internal_8128
4_internal_6941 20_internal_4501
8_internal_7062 17_internal_7681
1_internal_17976 7_internal_8056
2_internal_13009 19_internal_5787
4_internal_6941 14_internal_5396
2_internal_13431 5_internal_8161
1_internal_20060 4_internal_7561
1_internal_15713 2_internal_13009
4_internal_6941 17_internal_7589
8_internal_7398 21_internal_2154
1_internal_15666 19_internal_5787
1_internal_15713 12_internal_8589
2_internal_13320 3_internal_10703
2_internal_13437 6_internal_10475
7_internal_8056 16_internal_5824
4_internal_6941 7_internal_7975
8_internal_6686 16_internal_5608
5_internal_8128 8_internal_7062
2_internal_13431 6_internal_10475
1_internal_15666 10_internal_7528
1_internal_18413 6_internal_10475
14_internal_6170 21_internal_2154
9_internal_6601 17_internal_8574
1_internal_20060 18_internal_3502
7_internal_8056 21_internal_2154
7_internal_8056 8_internal_7398
7_internal_8056 14_internal_6170
2_internal_13108 17_internal_7589
10_internal_7559 21_internal_2154
16_internal_5523 20_internal_4501
8_internal_7062 19_internal_5810
17_internal_7681 19_internal_5810
8_internal_7398 10_internal_7559
4_internal_7325 16_internal_5740
2_internal_13108 20_internal_4501
1_internal_16048 19_internal_5787
3_internal_11303 11_internal_7520
16_internal_5740 21_internal_2154
14_internal_5459 19_internal_5787
1_internal_15713 19_internal_6365
2_internal_13431 5_internal_8133
1_internal_18413 2_internal_13431
2_internal_13914 12_internal_9475
3_internal_10709 11_internal_7504
1_internal_16974 11_internal_7511
1_internal_17976 21_internal_2154
11_internal_7699 19_internal_5863
4_internal_7561 17_internal_7681
2_internal_13431 3_internal_10929
4_internal_7561 19_internal_5810
6_internal_9964 11_internal_8882
17_internal_7681 18_internal_3502
10_internal_7559 16_internal_5740
1_internal_17976 16_internal_5740
7_internal_8132 11_internal_7480
1_internal_15666 2_internal_13009
1_internal_18413 3_internal_10929
14_internal_5459 19_internal_6365
1_internal_15713 12_internal_8770
5_internal_8128 17_internal_7681
9_internal_6481 17_internal_7818
1_internal_17976 19_internal_5863
2_internal_13108 16_internal_5523
18_internal_3044 19_internal_5901
2_internal_13431 11_internal_8882
11_internal_7699 17_internal_7965
2_internal_13437 6_internal_9964
1_internal_15713 10_internal_7528
4_internal_7561 8_internal_7062
1_internal_18827 2_internal_13431
6_internal_9964 14_internal_5411
3_internal_11026 17_internal_7818
