"id1" "id2"
"35119" "2_internal_13884" "10_internal_13184"
"40100" "2_internal_17287" "17_internal_11279"
"38561" "2_internal_14060" "14_internal_5558"
"2761" "10_internal_13184" "20_internal_7008"
"31070" "17_internal_7924" "21_internal_2157"
"44157" "2_internal_14911" "4_internal_8229"
"7575" "1_internal_16135" "11_internal_7625"
"34102" "1_internal_15656" "9_internal_6805"
"84111" "9_internal_6626" "19_internal_5998"
"4204" "11_internal_7683" "12_internal_8486"
"6714" "11_internal_7586" "19_internal_5968"
"8074" "11_internal_7683" "20_internal_4919"
"77567" "7_internal_8021" "9_internal_6626"
"4382" "11_internal_7586" "12_internal_8617"
"10454" "1_internal_15656" "14_internal_5558"
"28595" "16_internal_5606" "21_internal_2157"
"24532" "14_internal_5558" "21_internal_2157"
"6790" "11_internal_7625" "19_internal_5968"
"51925" "3_internal_11864" "17_internal_7654"
"34497" "1_internal_15910" "9_internal_6634"
"25479" "1_internal_16427" "4_internal_7218"
"3361" "1_internal_19323" "10_internal_8421"
"5755" "11_internal_7586" "16_internal_5606"
"25699" "15_internal_5512" "17_internal_7654"
"49989" "3_internal_11622" "12_internal_8665"
"34630" "20_internal_4919" "21_internal_2258"
"83815" "9_internal_6805" "17_internal_7924"
"37235" "2_internal_13569" "12_internal_8847"
"7608" "1_internal_16052" "11_internal_7586"
"12944" "1_internal_17173" "17_internal_10736"
"36360" "2_internal_14060" "11_internal_7586"
"84542" "9_internal_6805" "21_internal_2157"
"54472" "3_internal_11864" "5_internal_8133"
"33003" "1_internal_16533" "8_internal_7697"
"34527" "1_internal_16427" "9_internal_6805"
"23613" "14_internal_5558" "17_internal_7654"
"36177" "2_internal_13479" "11_internal_7806"
"17312" "1_internal_17181" "21_internal_2157"
"17405" "1_internal_15656" "21_internal_2157"
"17514" "1_internal_16603" "21_internal_2751"
"2055" "10_internal_7733" "17_internal_7654"
"64773" "5_internal_8133" "17_internal_7654"
"29020" "1_internal_15656" "6_internal_10358"
"11357" "1_internal_15832" "15_internal_6532"
"63650" "5_internal_8525" "12_internal_8546"
"54449" "3_internal_11256" "5_internal_8477"
"49164" "3_internal_10883" "11_internal_7924"
"27836" "1_internal_15899" "5_internal_8394"
"37561" "2_internal_13513" "12_internal_10810"
"37269" "2_internal_13479" "12_internal_10810"
"53234" "3_internal_11864" "21_internal_2268"
"73585" "6_internal_10358" "9_internal_6805"
"11664" "1_internal_17181" "16_internal_5606"
"23352" "14_internal_5558" "16_internal_5606"
"37377" "2_internal_13354" "12_internal_10810"
"79557" "8_internal_6990" "14_internal_5558"
"66141" "5_internal_8133" "22_internal_3429"
"4446" "11_internal_7625" "12_internal_8617"
"66142" "5_internal_8133" "22_internal_3328"
"37206" "2_internal_14232" "12_internal_10810"
"13904" "1_internal_16523" "19_internal_5811"
"24586" "14_internal_5530" "21_internal_2190"
"42772" "2_internal_20727" "3_internal_11672"
"9363" "1_internal_16135" "12_internal_8617"
"39580" "2_internal_14060" "16_internal_5606"
"41682" "2_internal_13884" "20_internal_7008"
"4209" "11_internal_7683" "12_internal_8665"
"74509" "7_internal_8021" "12_internal_8495"
"13838" "1_internal_16052" "19_internal_5968"
"41218" "2_internal_13043" "19_internal_5811"
"64770" "5_internal_8133" "17_internal_10736"
"7588" "1_internal_15832" "11_internal_7844"
"42372" "2_internal_14060" "21_internal_2157"
"47794" "2_internal_14060" "8_internal_6990"
"82702" "9_internal_6626" "12_internal_8495"
"60757" "4_internal_7218" "6_internal_10358"
"43755" "2_internal_13718" "3_internal_11256"
"27968" "16_internal_8086" "17_internal_12261"
"12373" "1_internal_15656" "17_internal_7924"
"17956" "12_internal_8847" "20_internal_4702"
"6733" "11_internal_7782" "19_internal_5998"
"29810" "1_internal_16427" "6_internal_10358"
"65967" "5_internal_8133" "21_internal_2268"
"46838" "2_internal_14232" "7_internal_8778"
"74301" "7_internal_8778" "11_internal_7806"
"11685" "1_internal_19323" "16_internal_8086"
"15488" "12_internal_9055" "15_internal_5446"
"12122" "1_internal_17181" "17_internal_7924"
