H3K4me1_chr1-3556 1_internal_22891
H3K4me1_chr1-5397 1_internal_25894
H3K4me1_chr1-28309 1_internal_25652
H3K4me1_chr1-29471 1_internal_22128
H3K4me1_chr1-29919 1_internal_19100
H3K4me1_chr1-35804 1_internal_19760
H3K4me1_chr1-40268 1_internal_24685
H3K4me1_chr1-45663 1_internal_16714
H3K4me1_chr1-51973 1_internal_19695
H3K4me1_chr1-55874 1_internal_24596
H3K4me1_chr1-56350 1_internal_25894
H3K4me1_chr1-59789 1_internal_26488
H3K4me1_chr1-61222 1_internal_22128
H3K4me1_chr1-61484 1_internal_21154
H3K4me1_chr1-64686 1_internal_20866
H3K4me1_chr1-65870 1_internal_21620
H3K4me1_chr1-67353 1_internal_17123
H3K4me1_chr1-67482 1_internal_26892
H3K4me1_chr1-68699 1_internal_24607
H3K4me1_chr1-69201 1_internal_23432
H3K4me1_chr1-70091 1_internal_26549
H3K4me1_chr1-70618 1_internal_19258
H3K4me1_chr1-71134 1_internal_18901
H3K4me1_chr1-71798 1_internal_23489
H3K4me1_chr1-72262 1_internal_20640
H3K4me1_chr1-72866 1_internal_23018
H3K4me1_chr1-73136 1_internal_25894
H3K4me1_chr1-73515 1_internal_27240
H3K4me1_chr1-74116 1_internal_19329
H3K4me1_chr1-74988 1_internal_27240
H3K4me1_chr1-75315 1_internal_20436
H3K4me1_chr1-75396 1_internal_23489
H3K4me1_chr1-77266 1_internal_25390
H3K4me1_chr1-77562 1_internal_18081
H3K4me1_chr1-77846 1_internal_20578
H3K4me1_chr1-78827 1_internal_16748
H3K4me1_chr1-78982 1_internal_22620
H3K4me1_chr1-79785 1_internal_25894
H3K4me1_chr1-80307 1_internal_24263
H3K4me1_chr1-81915 1_internal_23924
H3K4me1_chr1-85616 1_internal_20214
H3K4me1_chr1-85750 1_internal_25894
H3K4me1_chr1-87621 1_internal_23489
H3K4me1_chr1-87991 1_internal_26488
H3K4me1_chr1-88812 1_internal_18556
H3K4me1_chr1-89328 1_internal_19695
H3K4me1_chr1-89484 1_internal_19992
H3K4me1_chr1-89602 1_internal_18232
H3K4me1_chr1-89873 1_internal_22885
H3K4me1_chr1-89943 1_internal_18330
H3K4me1_chr1-90738 1_internal_19775
H3K4me1_chr1-91302 1_internal_17174
H3K4me1_chr1-91861 1_internal_24446
H3K4me1_chr1-92214 1_internal_18712
H3K4me1_chr1-92777 1_internal_24660
H3K4me1_chr1-93212 1_internal_20866
H3K4me1_chr1-93365 1_internal_18962
H3K4me1_chr1-93623 1_internal_20186
H3K4me1_chr1-93907 1_internal_18903
H3K4me1_chr1-94122 1_internal_19312
H3K4me1_chr1-94133 1_internal_18946
H3K4me1_chr1-94345 1_internal_24712
H3K4me1_chr1-94795 1_internal_21872
H3K4me1_chr1-94946 1_internal_23284
H3K4me1_chr1-95080 1_internal_24497
H3K4me1_chr1-95084 1_internal_17742
H3K4me1_chr1-95214 1_internal_26062
H3K4me1_chr1-95442 1_internal_24299
H3K4me1_chr1-95589 1_internal_18511
H3K4me1_chr1-95613 1_internal_26198
H3K4me1_chr1-95616 1_internal_26198
H3K4me1_chr1-95687 1_internal_27240
H3K4me1_chr1-96198 1_internal_20866
H3K4me1_chr1-96628 1_internal_26219
H3K4me1_chr1-96649 1_internal_18203
H3K4me1_chr1-96717 1_internal_26385
H3K4me1_chr1-96852 1_internal_19822
H3K4me1_chr1-96911 1_internal_16748
H3K4me1_chr1-97479 1_internal_18055
H3K4me1_chr1-97639 1_internal_19201
H3K4me1_chr1-97659 1_internal_24401
H3K4me1_chr1-97718 1_internal_16065
H3K4me1_chr1-97770 1_internal_24955
H3K4me1_chr1-97773 1_internal_17217
H3K4me1_chr1-98057 1_internal_25239
H3K4me1_chr1-98123 1_internal_24973
H3K4me1_chr1-98184 1_internal_25894
H3K4me1_chr1-98432 1_internal_23432
H3K4me1_chr1-98506 1_internal_20541
H3K4me1_chr1-98619 1_internal_22471
H3K4me1_chr1-98658 1_internal_18695
H3K4me1_chr1-98727 1_internal_26488
H3K4me1_chr1-98732 1_internal_24690
H3K4me1_chr1-98845 1_internal_21872
H3K4me1_chr1-99004 1_internal_25629
H3K4me1_chr1-99242 1_internal_20866
H3K4me1_chr1-100367 1_internal_25894
H3K4me1_chr1-100385 1_internal_18712
H3K4me1_chr1-100991 1_internal_18408
H3K4me1_chr1-101290 1_internal_18004
H3K4me1_chr1-101430 1_internal_22620
H3K4me1_chr1-101503 1_internal_25894
H3K4me1_chr1-101531 1_internal_16728
H3K4me1_chr1-101567 1_internal_21199
H3K4me1_chr1-101596 1_internal_22801
H3K4me1_chr1-101925 1_internal_20778
H3K4me1_chr1-102164 1_internal_22885
