chr1	245485995	245486341	53894	72	chr1	245329342	245844692	1_internal_26219
chr2	158977001	158978200	299577	72	chr2	158886078	159367619	2_internal_20079
chr2	158977001	158978200	299577	70	chr2	158865560	159476675	2_internal_21112
chr2	216102845	216103844	312144	72	chr2	215205800	216179077	2_internal_20283
chr2	230265645	230267000	315548	70	chr2	230265691	230283504	2_internal_14423
chr2	230265645	230267000	315548	72	chr2	230147270	230283504	2_internal_15427
chr2	230265645	230267000	315548	72	chr2	230147311	230283320	2_internal_13513
chr3	32599072	32600000	361359	72	chr3	32591081	32628407	3_internal_13990
chr3	32599072	32600000	361359	70	chr3	32586140	32704900	3_internal_14749
chr3	195281975	195283628	395217	72	chr3	195254771	195315517	3_internal_11981
chr3	195282981	195284174	395218	72	chr3	195254771	195315517	3_internal_11981
chr4	23271201	23271686	401259	72	chr4	23271034	23305464	4_internal_8258
chr4	23271201	23271686	401259	72	chr4	22789189	23948480	4_internal_9693
chr4	122034622	122035225	417842	72	chr4	121842374	122035239	4_internal_7701
chr4	122034622	122035225	417842	70	chr4	121579580	122188961	4_internal_11343
chr4	122034622	122035225	417842	72	chr4	121012524	122302344	4_internal_11176
chr4	146720201	146722044	422114	70	chr4	146706539	146744473	4_internal_7742
chr4	146720201	146722044	422114	72	chr4	146537849	146774376	4_internal_11228
chr4	153814010	153814600	423654	70	chr4	153698827	153819795	4_internal_7900
chr4	175449010	175449624	427348	70	chr4	175341126	175619188	4_internal_11102
chr4	175449010	175449624	427348	72	chr4	175341126	175619188	4_internal_11420
chr4	175449010	175449624	427348	73	chr4	175341126	175515918	4_internal_9949
chr5	351774	352195	430519	70	chr5	320521	449583	5_internal_12144
chr5	351774	352195	430519	72	chr5	320521	449583	5_internal_11969
chr5	56035864	56036343	441189	72	chr5	56012533	56061971	5_internal_11394
chr5	56035864	56036343	441189	70	chr5	56028784	56154923	5_internal_9442
chr5	56035864	56036343	441189	72	chr5	55859625	56154923	5_internal_9591
chr5	56035864	56036343	441189	72	chr5	55961728	56116307	5_internal_9073
chr5	56035864	56036343	441189	73	chr5	55566552	56173653	5_internal_12954
chr5	134485632	134487031	456699	70	chr5	134364259	134608133	5_internal_9934
chr5	134485632	134487031	456699	72	chr5	134440196	134497848	5_internal_8731
chr7	37630195	37630963	513363	72	chr7	37622762	37631365	7_internal_8965
chr7	42941995	42942394	514659	70	chr7	42923035	42971541	7_internal_9722
chr7	42941995	42942394	514659	72	chr7	42925759	42952416	7_internal_11533
chr7	55493112	55493394	517132	70	chr7	55376079	55778449	7_internal_10692
chr7	55493112	55493394	517132	70	chr7	55432029	61983228	7_internal_12399
chr7	77033012	77034411	520381	70	chr7	76959045	77046555	7_internal_8660
chr7	77033012	77034411	520381	70	chr7	77028273	77059347	7_internal_9020
chr7	133993724	133994923	532398	72	chr7	133805645	134041909	7_internal_12871
chr8	8846717	8847630	539786	70	chr8	8676885	8881577	8_internal_10969
chr8	8846717	8847630	539786	70	chr8	8701834	8853757	8_internal_7898
chr8	8846717	8847630	539786	72	chr8	8701834	9048717	8_internal_11746
chr8	8846717	8847630	539786	73	chr8	8637304	8864774	8_internal_11244
chr8	8846717	8847630	539786	72	chr8	8639625	10220992	8_internal_7304
chr8	8846717	8847630	539786	70	chr8	8133917	8850693	8_internal_9657
chr8	19408231	19409030	541988	70	chr8	19265377	19706550	8_internal_11182
chr8	19408231	19409030	541988	72	chr8	19212123	19616576	8_internal_11060
chr8	19408231	19409030	541988	73	chr8	18924926	19477000	8_internal_9033
chr8	19408231	19409030	541988	73	chr8	19397984	19469521	8_internal_8005
chr8	19408231	19409030	541988	73	chr8	18814769	19616576	8_internal_10876
chr8	19408231	19409030	541988	73	chr8	19203887	20162347	8_internal_7771
chr8	41925631	41926630	546980	73	chr8	41904118	42014059	8_internal_7002
chr10	26791401	26793200	60662	70	chr10	26784292	26847172	10_internal_9839
chr10	26791401	26793200	60662	72	chr10	26787741	26830187	10_internal_11844
chr10	26791401	26793200	60662	73	chr10	26748607	26800201	10_internal_8214
chr10	26791401	26793200	60662	70	chr10	26624004	26849929	10_internal_10940
chr10	134457670	134458069	83337	70	chr10	134351443	134539583	10_internal_11249
chr10	134457670	134458069	83337	73	chr10	134255291	135095614	10_internal_7559
chr11	34911464	34912028	91373	72	chr11	34671110	34932375	11_internal_11096
chr11	70433106	70433389	98296	72	chr11	70338518	70488303	11_internal_10504
chr13	21036497	21036896	141795	70	chr13	20744388	21051948	13_internal_5443
chr13	21036497	21036896	141795	70	chr13	20787060	21052882	13_internal_5557
chr13	97667601	97668545	155951	72	chr13	97633966	97668614	13_internal_4164
chr14	102322016	102323015	177038	72	chr14	102315498	102351252	14_internal_5521
chr14	102322016	102323015	177038	73	chr14	102171764	102351252	14_internal_5885
chr15	77336601	77337745	191569	72	chr15	77332913	77337501	15_internal_6094
chr16	15923201	15923800	201747	72	chr16	15923068	15964670	16_internal_6863
chr17	14251227	14251826	219968	70	chr17	13503690	15089407	17_internal_12693
chr17	14251227	14251826	219968	72	chr17	13283115	15061145	17_internal_12714
chr17	14251227	14251826	219968	72	chr17	14097305	15089407	17_internal_9423
chr21	17198130	17198855	337738	72	chr21	17179687	17198743	21_internal_2515
chr21	17198484	17198855	337740	72	chr21	17179687	17198743	21_internal_2515
chr21	47249330	47249929	344241	73	chr21	47237023	47343698	21_internal_2470
chr21	47249330	47249929	344241	73	chr21	47158891	47401479	21_internal_3444
