chr4	175449010	175449624	427348	chr4	175341126	175515918	4_internal_9949
chr5	56035864	56036343	441189	chr5	55566552	56173653	5_internal_12954
chr8	8846717	8847630	539786	chr8	8637304	8864774	8_internal_11244
chr8	19408231	19409030	541988	chr8	18924926	19477000	8_internal_9033
chr8	19408231	19409030	541988	chr8	19397984	19469521	8_internal_8005
chr8	19408231	19409030	541988	chr8	18814769	19616576	8_internal_10876
chr8	19408231	19409030	541988	chr8	19203887	20162347	8_internal_7771
chr8	41925631	41926630	546980	chr8	41904118	42014059	8_internal_7002
chr10	26791401	26793200	60662	chr10	26748607	26800201	10_internal_8214
chr10	134457670	134458069	83337	chr10	134255291	135095614	10_internal_7559
chr14	102322016	102323015	177038	chr14	102171764	102351252	14_internal_5885
chr21	47249330	47249929	344241	chr21	47237023	47343698	21_internal_2470
chr21	47249330	47249929	344241	chr21	47158891	47401479	21_internal_3444
